@passytee,2021-08-01T07:04:18.000Z,46,20,197
@nftsteam305,2021-08-01T07:02:04.000Z,6,25,47
@chungachunft,2021-08-01T06:48:37.000Z,0,2,11
@BoredApeGazette,2021-08-01T06:47:19.000Z,0,6,14
@mitchem,2021-08-01T06:39:02.000Z,0,1,7
@0xAli3n,2021-08-01T06:38:42.000Z,1,0,34
@wxw_eth,2021-08-01T06:33:58.000Z,1,2,28
@iamboredbecky,2021-08-01T06:30:03.000Z,0,4,28
@BoredApeGazette,2021-08-01T06:29:00.000Z,5,20,83
@PaulNotOkay,2021-08-01T06:28:57.000Z,1,13,28
@ApeofPoland,2021-08-01T06:23:57.000Z,23,53,313
@PaulNotOkay,2021-08-01T06:16:17.000Z,0,6,24
@iRacer77,2021-08-01T06:15:51.000Z,1,1,6
@mikadontlouz,2021-08-01T06:14:25.000Z,0,1,6
@multivrsstudios,2021-08-01T06:03:07.000Z,3,0,22
@byswickie,2021-08-01T05:28:39.000Z,1,8,45
@NFtSNiPERbOt,2021-08-01T05:28:18.000Z,0,1,5
@byswickie,2021-08-01T05:27:44.000Z,3,9,69
@byswickie,2021-08-01T05:22:49.000Z,5,9,90
@byswickie,2021-08-01T05:21:04.000Z,6,5,67
@byswickie,2021-08-01T05:20:21.000Z,8,21,101
@vk_doge,2021-08-01T05:13:02.000Z,1,1,10
@DFZ6644,2021-08-01T04:41:02.000Z,2,2,9
@joecannaccino,2021-08-01T04:39:47.000Z,1,1,8
@amandawoolleyy,2021-08-01T04:39:38.000Z,1,0,6
@HypedMali,2021-08-01T04:23:47.000Z,101,25,311
@SoapBoxCar,2021-08-01T03:53:52.000Z,0,2,5
@3NipplesCapital,2021-08-01T03:49:45.000Z,4,1,8
@evenmoneysniper,2021-08-01T03:47:53.000Z,0,1,8
@0xBaba23,2021-08-01T03:43:58.000Z,0,0,5
@dearearth_,2021-08-01T03:41:17.000Z,2,0,3
@IzzyPollak,2021-08-01T03:25:44.000Z,18,27,267
@thekidmcmanus,2021-08-01T03:22:52.000Z,5,6,40
@ASvanevik,2021-08-01T03:22:07.000Z,1,3,16
